scientificname;decimalLat;decimalLong
Hapalemur griseus;-15,1882;48,6143
Hapalemur griseus;-15,03528333;49,584
Hapalemur griseus;-21,34538333;45,1865
Hapalemur griseus;-21,33883333;45,18666667
Hapalemur griseus;-16,8085;49,82833333
Hapalemur griseus;-20,39361111;47,65305556
Hapalemur griseus;-20,39027778;47,63444444
Hapalemur griseus;-20,38277778;47,66583333
Hapalemur griseus;-20,07638889;47,69083333
Hapalemur griseus;-20,06361111;47,67166667
Indri indri;-14,68333333;49,41666667
Indri indri;-15,28333333;49,56666667
Indri indri;-14,68333333;49,41666667
Indri indri;-15,28333333;49,56666667
Indri indri;-14,68333333;49,41666667
Indri indri;-18,51666667;49,28333333
Indri indri;-18,8;48,93333333
Indri indri;-18,37361111;49,00416667
Indri indri;-18,53111111;48,95861111
Indri indri;-18,04833333;49,09166667
Indri indri;-18,71666667;48,88333333
Indri indri;-18,79166667;48,42666667
Indri indri;-18.1417;49.3833
Indri indri;-19.01;48.5
Indri indri;-19.01;48.5
Indri indri;-19.0;48.5
Indri indri;-18.9667;48.4667
Indri indri;-18.8333;48.5
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-18.4667;48.4667
Indri indri;-15.7667;49.6
Indri indri;-15.7667;49.6
Indri indri;-15.7667;49.6
Indri indri;-15.7667;49.6
Indri indri;-16,66861111;49,67666667
Indri indri;-18,40583333;48,78138889
Indri indri;-19,18333333;48,43333333
Indri indri;-14,68333333;49,41666667
Indri indri;-14,68333333;49,41666667
Indri indri;-15,28333333;49,56666667
Indri indri;-17,88333333;49,16666667
Indri indri;-17,83333333;49,18333333
Indri indri;-17,83333333;49,18333333
Indri indri;-16,30083333;48,79583333
Indri indri;-18.048;49.092
Indri indri;-18.695;48.813
Indri indri;-18.702;48.467
Indri indri;-18.792;48.427
Indri indri;-18.198;48.578
Indri indri;-17,73722222;48,97444444
Indri indri;-17,68638889;49,00888889
Indri indri;-17,51;48,76833333
Indri indri;-15,81858333;49,5105
Indri indri;-15,48830556;49,15930556
Indri indri;-15,43130556;49,45444444
Indri indri;-15,40886111;49,13475
Indri indri;-15,39805556;49,45144444
Indri indri;-15,35941667;49,50336111
Indri indri;-15,31113889;49,50336111
Indri indri;-15,13777778;49,35063889
Indri indri;-14,83147222;49,46036111
Indri indri;-18,86666667;48,36666667
Indri indri;-18,86666667;48,36666667
Indri indri;-14,78333333;49,44166667
Indri indri;-18,17638889;48,59861111
Indri indri;-18,17638889;48,59861111
Indri indri;-18,88333333;48,45833333
Indri indri;-14,437499;49,775575
Indri indri;-14,436634;49,743328
Indri indri;-18,40583333;48,78138889
Indri indri;-18,93333333;48,43333333
Indri indri;-19,18333333;48,43333333
Indri indri;-15,36666667;49,63055556
Indri indri;-18,96638889;48,46416667
Indri indri;-15,56638889;49,57916667
Indri indri;-16,43333333;49,85
Indri indri;-19,43333333;48,2
Indri indri;-19,18333333;48,43333333
Indri indri;-18,475;48,40555556
Indri indri;-18,93333333;48,43333333
Indri indri;-18,925;48,51666667
Indri indri;-16,93583333;48,76944444
Indri indri;-16,30083333;48,79583333
Indri indri;-18,2;48,88333333
Indri indri;-16,95166667;48,96888889
Indri indri;-15,675;49,375
Indri indri;-14,75805556;49,50861111
Indri indri;-19,18888889;48,34138889
Indri indri;-15,22583333;49,52944444
Indri indri;-15,43916667;49,53444444
Indri indri;-15,29027778;49,5475
Indri indri;-15,40111111;49,43583333
Indri indri;-17,675;48,75833333
Indri indri;-17,73722222;48,97444444
Indri indri;-17,73722222;48,97444444
Indri indri;-18,925;48,51666667
Indri indri;-18,73333333;48,96666667
Indri indri;-15,40555556;49,13638889
Indri indri;-15,40888889;49,14694444
Indri indri;-15,40888889;49,13472222
Indri indri;-15,41138889;49,14
Indri indri;-15,49166667;49,16027778
Indri indri;-15,48111111;49,16138889
Indri indri;-15,48638889;49,16666667
Indri indri;-15,43138889;49,45444444
Indri indri;-15,43138889;49,45444444
Indri indri;-15,39805556;49,45138889
Indri indri;-15,35944444;49,50333333
Indri indri;-15,31111111;49,50333333
Indri indri;-15,81861111;49,51055556
Indri indri;-18,8;48,93333333
Indri indri;-18,78333333;48,96666667
Indri indri;-18,71666667;48,88333333
Indri indri;-18,68333333;48,8
Indri indri;-18,53333333;48,96666667
Indri indri;-18,03333333;49,08333333
Indri indri;-17,73333333;48,96666667
Indri indri;-17,71666667;48,76666667
Indri indri;-18,96833333;48,45666667
Indri indri;-18,97333333;48,47166667
Indri indri;-18,89083333;48,50083333
Indri indri;-16,27861111;48,80083333
Indri indri;-16,29915618;48,87187609
Indri indri;-18,42166667;47,94333333
Indri indri;-18,46;47,97333333
Indri indri;-18,305;48,015
Indri indri;-18,425;47,95333333
Indri indri;-18,807;48,35830556
Indri indri;-18,80816667;48,33716667
Indri indri;-18,79336111;48,33436111
Indri indri;-18,79869444;48,32322222
Indri indri;-18,82386111;48,33380556
Indri indri;-18,82386111;48,33380556
Indri indri;-15,4393;49,53488333
Indri indri;-15,29066667;49,54911667
Indri indri;-15,22608333;49,52945
Indri indri;-15,40888889;49,13472222
Indri indri;-15,13777778;49,35055556
Indri indri;-15,48833333;49,15944444
Indri indri;-15,43138889;49,45444444
Indri indri;-15,39805556;49,45138889
Indri indri;-15,35944444;49,50333333
Indri indri;-15,31111111;49,50333333
Indri indri;-15,81861111;49,51055556
Indri indri;-14,83138889;49,46027778
Indri indri;-15,76666667;49,6
Indri indri;-18,695;48,81333333
Indri indri;-18,70166667;48,46666667
Indri indri;-18,17583333;48,59472222
Indri indri;-14,75805556;49,50861111
Indri indri;-15,22111111;49,59222222
Indri indri;-18,42166667;47,94333333
Indri indri;-14,76666667;49,5
Indri indri;-16,66861111;49,67666667
Indri indri;-17,9;49,21666667
Indri indri;-17,9;49,21666667
Indri indri;-17,9;49,21666667
Indri indri;-18,51666667;49,28333333
Indri indri;-16,43333333;49,85
Indri indri;-18,71666667;48,88333333
Indri indri;-18,73333333;48,96666667
Indri indri;-15,36666667;49,63055556
Indri indri;-15,56666667;49,6
Indri indri;-18,8;48,93333333
Indri indri;-15,22583333;49,52944444
Indri indri;-15,22083333;49,59166667
Indri indri;-17,3;49,03333333
Indri indri;-18,37361111;49,00416667
Indri indri;-17,9;49,21666667
Indri indri;-17,88333333;49,16666667
Indri indri;-15,28333333;49,56666667
Indri indri;-18,695;48,81333333
Indri indri;-19,43333333;48,2
Indri indri;-17,73333333;48,975
Indri indri;-15,76666667;49,6
Indri indri;-18,53333333;48,96666667
Indri indri;-18,04833333;49,09166667
Indri indri;-19,18333333;48,43333333
Indri indri;-17,83333333;49,18333333
Indri indri;-15,43916667;49,53444444
Indri indri;-15,29027778;49,5475
Indri indri;-17,68555556;49,00055556
Indri indri;-18,925;48,51666667
Indri indri;-15,40111111;49,43583333
Indri indri;-18,70166667;48,46666667
Indri indri;-16,95;48,96666667
Indri indri;-15,675;49,375
Indri indri;-14,755;49,505
Indri indri;-18,86666667;48,36666667
Indri indri;-17,51611111;48,7675
Indri indri;-18,89083333;48,50083333
Indri indri;-18,79166667;48,42666667
Indri indri;-19,18888889;48,34138889
Indri indri;-18,19833333;48,57833333
Indri indri;-18,475;48,40555556
Indri indri;-18,40833333;48,78333333
Indri indri;-16,93583333;48,76944444
Indri indri;-16,28361111;48,79916667
Indri indri;-18,93333333;48,43333333
Indri indri;-15,40555556;49,13638889
Indri indri;-15,40888889;49,14694444
Indri indri;-18,88333333;48,45833333
Indri indri;-18,17638889;48,59861111
Indri indri;-18,96833333;48,45666667
Indri indri;-15,41138889;49,14
Indri indri;-18,98333333;48,45
Indri indri;-17,675;48,75833333
Indri indri;-15,49166667;49,16027778
Indri indri;-18,2;48,88333333
Indri indri;-14,78333333;49,44166667
Indri indri;-18,97333333;48,47166667
Indri indri;-15,48111111;49,16138889
Indri indri;-15,48638889;49,16666667
Indri indri;-18,405;47,945
Indri indri;-14,68333333;49,41666667
Indri indri;-17,3;49,03333333
Indri indri;-17,3;49,03333333
Indri indri;-17,3;49,03333333
Indri indri;-17,3;49,03333333
Indri indri;-17,3;49,03333333
